latitude,longitude,datetime,temp,feelslikemax,feelslikemin,dew,humidity,precip,precipprob,precipcover,windspeed,windspeedmean,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
13.082,80.275,2018-01-01,26.3,32.6,23,22,78.3,0,0,0,14.8,7.4,356.3,1009.6,51,5.3,0,0,0
13.082,80.275,2018-01-02,26.1,34.6,22.8,22.5,81.8,0,0,0,18.4,8,18.7,1009.7,42.6,5.1,113.9,7.3,7
13.082,80.275,2018-01-03,26.3,33,22.9,21.9,78.8,0,0,0,18.4,8,31.2,1011.4,33.5,5.5,214.2,18.4,8
13.082,80.275,2018-01-04,25.8,30.8,22,19,68.8,0,0,0,22.3,8.3,36.6,1012.7,19,4.5,234.2,20.2,8
13.082,80.275,2018-01-05,24.9,29.4,21,16.2,61.3,0,0,0,18.4,7.6,39.6,1011.9,15.2,4.9,233.7,20,8
13.082,80.275,2018-01-06,24.4,29.8,20,16.4,63,0,0,0,18.4,7,35.8,1011.6,27,4.4,236.1,20.3,8
13.082,80.275,2018-01-07,24.2,29.2,19.5,15.7,62.1,0,0,0,22.3,8,30.8,1012.3,2.6,5.1,244.2,21,9
13.082,80.275,2018-01-08,24.7,29.8,19.9,18.4,69.6,0,0,0,22.3,9.3,30.6,1012.8,34.5,4.9,221.7,19.3,8
13.082,80.275,2018-01-09,25.7,30.1,24,20.7,74.1,0.026,100,4.17,20.5,11,16.2,1014,64.5,4.5,138.5,12.1,7
13.082,80.275,2018-01-10,24.8,26,24,22.8,88.6,6.405,100,12.5,11.2,5,347.9,1015,84.7,3.6,104.9,9.2,4
13.082,80.275,2018-01-11,26.5,34.1,23.9,22.7,80.6,0,0,0,18.4,7.2,31,1014.6,52.2,4.6,171.5,14.7,7
13.082,80.275,2018-01-12,26.5,34.6,23,22.2,79.8,0,0,0,16.6,5.5,52.8,1013.8,27.5,4,235.3,20.4,8
13.082,80.275,2018-01-13,25.7,35.5,22.7,22.6,84.2,0,0,0,18.4,7,70.2,1013.4,35.6,3.9,224.2,19.3,8
13.082,80.275,2018-01-14,25.6,33.3,22,22.2,82.6,0,0,0,18.4,6.6,46.2,1013.8,30.8,4.2,230.5,19.9,8
13.082,80.275,2018-01-15,26.1,33.7,22.3,21.3,78,0,0,0,14.8,5.9,52.5,1013.7,30.1,4.7,229.4,19.8,8
13.082,80.275,2018-01-16,26,33.7,22.5,21.8,79.2,0,0,0,14.8,5.7,49.6,1012.6,36.1,4.5,223.9,19.4,8
13.082,80.275,2018-01-17,25.3,30.8,21.2,18.6,70.2,0,0,0,18.4,7.2,62.3,1013,21.6,4.5,245.2,21.3,9
13.082,80.275,2018-01-18,24.7,29.6,20,18.1,68.5,0,0,0,22.3,8.3,35.9,1013.3,34.4,5.3,245.7,21.3,9
13.082,80.275,2018-01-19,25,30.2,20.8,17.8,65.8,0,0,0,22.3,8.2,42.9,1014,37.6,5.4,244.7,21.2,9
13.082,80.275,2018-01-20,25.1,29.8,22,17.6,64.4,0,0,0,18.4,7.7,27.6,1013.5,46,5.1,231,20,8
13.082,80.275,2018-01-21,24.5,30,21,17.8,67.7,0,0,0,22.3,7.8,31,1012.5,40.2,5,237,20.5,9
13.082,80.275,2018-01-22,24.9,30.3,21.7,18.9,70.5,0,0,0,18.4,8.4,29.5,1011.6,43.1,4.9,216.5,18.8,8
13.082,80.275,2018-01-23,24.8,31.3,21,19.4,73,0,0,0,18.4,6.8,48.9,1011.1,29.6,4.9,237.6,20.6,8
13.082,80.275,2018-01-24,25.2,32.6,21,20.2,75.1,0,0,0,14.8,5.9,57.7,1010.4,20.5,4.7,244.8,21.3,9
13.082,80.275,2018-01-25,25.5,32.6,22,20.5,76.9,0,0,0,22.3,7.9,44.7,1010,20.5,4.5,253.3,21.8,9
13.082,80.275,2018-01-26,25.9,32,22,19.7,72.3,0,0,0,16.6,8.8,69.1,1010.7,16.1,4.1,254.6,22.1,9
13.082,80.275,2018-01-27,25.4,30.4,21.6,19.5,72.6,0,0,0,18.4,8,50.9,1011.4,17.4,4.2,254.5,21.9,9
13.082,80.275,2018-01-28,25.2,31.3,21,19.5,72,0,0,0,20.5,9.1,39.2,1012.3,11.7,4.6,251.1,21.6,9
13.082,80.275,2018-01-29,25.3,30.8,21,19.6,71.9,0,0,0,22.3,9.9,42.3,1013.7,35.9,4.8,246.8,21.3,9
13.082,80.275,2018-01-30,25.1,30.8,20.8,19,70.2,0,0,0,27.7,9.2,39.6,1014.1,23.3,5.7,258.9,22.3,9
