latitude,longitude,datetime,temp,feelslikemax,feelslikemin,dew,humidity,precip,precipprob,precipcover,windspeed,windspeedmean,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
13.082,80.275,2012-01-01,25.8,33.7,24.1,23.9,89.7,9,100,8.33,13,5.4,128,1011.6,67.9,3.7,,,
13.082,80.275,2012-01-02,26.4,35.2,24.1,23.9,86.6,0.3,100,12.5,14.8,6.1,85.4,1011.6,61.8,3.5,,,
13.082,80.275,2012-01-03,26.6,35.2,24.1,23.8,85.4,0,0,0,14.8,6.3,62,1011.3,45.6,5.1,,,
13.082,80.275,2012-01-04,26.6,36.7,24.1,23.8,85.9,0,0,0,18.4,7.6,72.4,1011.7,47,5.9,,,
13.082,80.275,2012-01-05,26.5,34.3,24.1,23.5,84.6,0.4,100,8.33,16.6,7.2,68.5,1013.3,38.4,5.4,,,
13.082,80.275,2012-01-06,26.2,34.3,23.1,22.9,83.1,0,0,0,16.6,7.3,65.4,1014,46.5,6,,,
13.082,80.275,2012-01-07,25.4,32.6,22.1,22,82.7,0,0,0,18.4,7.9,72.6,1014.9,36.1,6,,,
13.082,80.275,2012-01-08,25.8,33.4,22.1,22.2,81.9,0,0,0,18.4,7.7,60.7,1014.8,32.8,6.2,,,
13.082,80.275,2012-01-09,26.5,35.6,23.1,23.1,82.8,0,0,0,18.4,8.6,101.1,1013.1,42.4,5.1,,,
13.082,80.275,2012-01-10,26.8,34.3,23.1,22.9,80.1,0,0,0,18.4,10.6,116.4,1011.9,44.2,6.3,,,
13.082,80.275,2012-01-11,25.9,32,23.1,21.5,78.7,12,100,4.17,18.4,7.9,114.5,1012.8,44.2,6.6,,,
13.082,80.275,2012-01-12,25.1,29.7,22.1,21.1,79.8,0.2,100,8.33,16.6,7.4,29,1013,34.8,5.9,,,
13.082,80.275,2012-01-13,24.8,29.7,22.1,20.8,79.6,0.2,100,4.17,25.9,10.4,32.9,1013.8,47.1,4.8,,,
13.082,80.275,2012-01-14,24.2,27.9,21.1,16.7,65,0,0,0,21.2,9.8,24.4,1013.3,31.6,5.4,,,
13.082,80.275,2012-01-15,22.4,27.3,19.1,15.9,68.2,0,0,0,18.4,7.9,18.6,1012.6,43.1,6.2,,,
13.082,80.275,2012-01-16,22.7,28.3,18.1,16.4,69.5,0,0,0,18.4,6.9,44.4,1011.3,38.1,6,,,
13.082,80.275,2012-01-17,22.7,29.5,18.1,17.6,75,0,0,0,14.8,5.9,105,1010,18.1,5.7,,,
13.082,80.275,2012-01-18,23.6,29.3,19.1,18.7,75.9,0,0,0,20.5,8,151,1009.4,12.1,6.2,,,
13.082,80.275,2012-01-19,24.2,30.4,19.1,18.9,73.8,0,0,0,18.4,8.8,150.2,1009.6,15.7,7.2,,,
13.082,80.275,2012-01-20,24.2,30.9,19.1,19,74.6,0,0,0,18.4,7.8,115.9,1010.6,12.7,6,,,
13.082,80.275,2012-01-21,23.8,30.4,20.1,19.3,77.6,0,0,0,14.8,6.5,63.1,1011.3,15.4,5.7,,,
13.082,80.275,2012-01-22,24.3,29.5,19.1,18.8,73.5,0,0,0,22.3,9,75.5,1012.9,25.4,6.7,,,
13.082,80.275,2012-01-23,24.1,29.5,20.1,18.4,73,0,0,0,20.5,7.3,69.1,1013.2,33.7,6.9,,,
13.082,80.275,2012-01-24,24.1,29.9,20.1,18.4,72.1,0,0,0,18.4,7.5,56.7,1012.6,36.1,5.5,,,
13.082,80.275,2012-01-25,24.3,29.9,21.1,18.7,72.7,0,0,0,18.4,6.8,76.7,1012.3,42.7,5,,,
13.082,80.275,2012-01-26,24.6,30.9,21.1,19.9,76.4,0,0,0,20.5,8.2,52.9,1012.2,38.5,5.4,,,
13.082,80.275,2012-01-27,25.2,32,21.1,20.4,76.1,0,0,0,18.4,8.4,79.1,1011.9,42.9,6.3,,,
13.082,80.275,2012-01-28,25,30.9,22.1,20.1,75.8,0,0,0,20.5,10.2,74.1,1011.6,30.5,5.8,,,
13.082,80.275,2012-01-29,24.9,29.9,21.1,19.1,72.4,0,0,0,18.4,9.2,81.3,1011.3,30.1,5.6,,,
13.082,80.275,2012-01-30,25.5,30.9,22.1,19.8,71.6,0.2,100,4.17,24.1,13,69.3,1012.1,38.4,6.1,,,
