latitude,longitude,datetime,temp,feelslikemax,feelslikemin,dew,humidity,precip,precipprob,precipcover,windspeed,windspeedmean,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
13.082,80.275,2010-01-01,25.1,32.1,22.1,21.9,83.3,0,0,0,18.4,7.8,42.7,1012.7,30.8,4.7,,,
13.082,80.275,2010-01-02,25.1,31.4,21.1,22,83.5,0.2,100,8.33,16.6,8,33.3,1013.8,50,3.9,,,
13.082,80.275,2010-01-03,25.1,29.7,22.1,20.3,75.3,0,0,0,18.4,10,40.8,1014.1,49.6,4,,,
13.082,80.275,2010-01-04,23.6,29.7,21.1,19.7,79.9,0,0,0,14.8,5.3,23.3,1012.8,50.2,3.8,,,
13.082,80.275,2010-01-05,23.8,30.4,20.1,20,81.2,0,0,0,13,5.5,52.7,1011.1,26.2,4.4,,,
13.082,80.275,2010-01-06,24.4,30.4,21.1,20.3,79.3,0,0,0,22.3,8,32.2,1011.1,33.1,4.3,,,
13.082,80.275,2010-01-07,25.8,30.2,23.1,20.7,74.3,0.1,100,4.17,20.5,12.2,35.5,1011.9,47.5,4.7,,,
13.082,80.275,2010-01-08,23.9,25.3,23.1,22.2,90.7,3,100,8.33,16.9,10.4,356.6,1012.3,89.6,2.4,,,
13.082,80.275,2010-01-09,24.6,32.1,23.1,22.8,90,0.2,100,8.33,18.4,9.5,352.8,1011.9,86.8,3.4,,,
13.082,80.275,2010-01-10,25.4,33.7,23.1,23,87.1,0.1,100,4.17,14.8,6.7,15.7,1012.8,54.3,4,,,
13.082,80.275,2010-01-11,26.7,36.7,24.1,24.1,86.6,0.2,100,4.17,18.4,7.7,61.1,1014,48.6,5.3,,,
13.082,80.275,2010-01-12,26.9,35.6,24.1,23.6,82.8,0,0,0,18.4,8,73.9,1014.2,40.2,5.9,,,
13.082,80.275,2010-01-13,27.2,36.7,24.1,24.1,83.8,0.6,100,8.33,14.8,8.5,94.6,1014.7,45.2,5.5,,,
13.082,80.275,2010-01-14,27,34.3,24.1,23.5,81.7,0,0,0,16.6,9.7,66.9,1015.8,47.9,6.5,,,
13.082,80.275,2010-01-15,26.4,30.9,23.1,21.5,75.3,0,0,0,24.1,12.8,49.5,1017.1,42.5,6.1,,,
13.082,80.275,2010-01-16,25.6,31.4,22.1,20.7,76,0,0,0,24.1,9,36.4,1018,39.7,5.2,,,
13.082,80.275,2010-01-17,25.7,32.1,22.1,21.8,80.2,0,0,0,22.3,7.9,67.4,1017.9,41.9,5.9,,,
13.082,80.275,2010-01-18,25.8,32.6,23.1,22.3,81.8,0.5,100,12.5,16.6,7.7,63.6,1016.9,43.1,5.3,,,
13.082,80.275,2010-01-19,25.6,31.4,23.1,21.9,81.4,0.1,100,4.17,22.3,7.5,48.8,1014.8,40,4.2,,,
13.082,80.275,2010-01-20,25.1,30.4,22.1,19.9,75.2,0,0,0,24.1,9.1,60.7,1015.6,26.7,4.7,,,
13.082,80.275,2010-01-21,24.3,28.9,20.1,17.2,67.4,0,0,0,29.5,9.4,35,1015.1,20.4,5.9,,,
13.082,80.275,2010-01-22,23.7,29.9,19.1,17.7,70.7,0,0,0,18.4,9.5,11.9,1014.6,35.8,4.9,,,
13.082,80.275,2010-01-23,23.7,28.9,19.1,18.2,72.2,0,0,0,20.5,7.7,13.5,1014.7,38.7,4.8,,,
13.082,80.275,2010-01-24,24.4,28.9,20.1,20.1,77.7,0.3,100,8.33,18.4,7.3,33.7,1013.6,43.4,4.3,,,
13.082,80.275,2010-01-25,25,31.4,21.1,20.3,76.5,0,0,0,18.4,8.4,43.8,1013.9,37.9,5.4,,,
13.082,80.275,2010-01-26,25.7,31.9,22.1,20.9,76.5,0,0,0,20.5,10,35.4,1014.3,43.4,6,,,
13.082,80.275,2010-01-27,25.3,31.4,22.1,22.4,84.5,2,100,4.17,22.3,9.6,40.9,1014.5,46.7,5.2,,,
13.082,80.275,2010-01-28,25.3,32.1,21.1,21.5,80.7,0,0,0,22.3,10.9,56.6,1015.1,42.4,5.7,,,
13.082,80.275,2010-01-29,25.1,30.9,22.1,20.5,76.7,0,0,0,22.3,9.1,58.9,1015.2,46.1,5.6,,,
13.082,80.275,2010-01-30,24.8,30.9,20.1,19.8,76.1,0,0,0,24.1,10.3,46.5,1015.2,32.2,4.9,,,
13.082,80.275,2010-01-31,24.8,30.4,21.1,19.6,74.4,0,0,0,22.3,8.2,61,1015.2,28.3,5.5,,,
13.082,80.275,2010-02-01,24.3,29.9,20.1,19.5,76.2,0,0,0,18.4,7.9,59.8,1015.1,44.6,4.5,,,
13.082,80.275,2010-02-02,24.4,29.9,19.1,19,73.1,0,0,0,22.3,10.8,59.9,1014.6,41.1,5.9,,,
13.082,80.275,2010-02-03,24.4,29.5,20.1,18.4,71.4,0,0,0,18.4,9,53.3,1014.3,30.7,5.3,,,
13.082,80.275,2010-02-04,24.2,29.5,20.1,18.6,73.2,0,0,0,20.5,9.1,63.3,1014.5,40.6,5.5,,,
13.082,80.275,2010-02-05,24.7,30.4,20.1,19.3,73.9,0,0,0,20.5,8.9,71.3,1015.2,39.3,5,,,
13.082,80.275,2010-02-06,24.8,30.9,21.1,20.4,77.8,0,0,0,18.4,8.3,45.8,1015.6,33,5.5,,,
13.082,80.275,2010-02-07,25.2,30.4,21.1,19.9,74.7,0,0,0,18.4,7,46.8,1015.5,35.9,5.2,,,
13.082,80.275,2010-02-08,24.2,29.2,20.1,18.5,73.5,0,0,0,20.5,7.5,56.3,1013.4,23,5.3,,,
13.082,80.275,2010-02-09,24.2,30.9,20.1,19.5,76.6,0,0,0,16.6,7,76.8,1012.3,33.7,4.5,,,
13.082,80.275,2010-02-10,25.1,31.4,22.1,20.4,76.3,0,0,0,16.6,7.2,84,1012,30.9,6.1,,,
13.082,80.275,2010-02-11,25.9,31.4,23.1,21.7,78.3,0,0,0,18.4,9.5,65.1,1013.5,76.4,5.1,,,
13.082,80.275,2010-02-12,26.1,34.3,23.1,22.8,82.7,0,0,0,22.3,9.4,70.9,1014,53.8,5.2,,,
13.082,80.275,2010-02-13,26.2,33.4,24.1,22.3,80.3,0,0,0,18.4,10,67,1012.7,48.3,5.5,,,
13.082,80.275,2010-02-14,25.8,32.6,22.1,21.9,79.8,0,0,0,16.6,7.1,97.5,1011.8,47.3,5.2,,,
13.082,80.275,2010-02-15,26.6,34.3,23.1,22.6,79.8,0,0,0,18.4,8.7,112.6,1011.7,52.3,4.5,,,
13.082,80.275,2010-02-16,26.6,32.6,23.1,21.8,75.8,0,0,0,14.8,8.3,96.3,1012.9,44.8,6.2,,,
13.082,80.275,2010-02-17,26.8,35.6,23.1,22.8,79.7,0,0,0,18.4,9.5,101.6,1013,36.1,6.1,,,
13.082,80.275,2010-02-18,27.4,35.6,24,22.9,78,0,0,0,18.4,8,116.3,1012.9,51,6,,,
13.082,80.275,2010-02-19,26.6,34.3,23.1,22.6,79.3,0,0,0,16.6,9.4,139.5,1013.7,60.9,6.5,,,
13.082,80.275,2010-02-20,26.5,34.7,23.1,22.4,79.3,0,0,0,20.5,8.9,124.6,1013.7,23.4,6,,,
13.082,80.275,2010-02-21,27,35.6,23.1,23.1,80.4,0,0,0,18.4,9,138.9,1013.9,37.1,5.3,,,
13.082,80.275,2010-02-22,27.5,35.6,24.1,22.9,77.3,0,0,0,22.3,11.2,120.2,1012.9,29.7,6.7,,,
13.082,80.275,2010-02-23,27.7,37.1,24.1,23.1,77.6,0,0,0,16.9,10.6,178.1,1011.4,18.2,6.3,,,
13.082,80.275,2010-02-24,28.1,36.9,25.3,23.6,77.4,0,0,0,24.1,14.7,170.7,1010.3,25.1,5.7,,,
13.082,80.275,2010-02-25,28.4,38.2,25.6,24.2,78.8,0,0,0,22.3,11,151.3,1010.5,48.7,5.7,,,
