latitude,longitude,datetime,temp,feelslikemax,feelslikemin,dew,humidity,precip,precipprob,precipcover,windspeed,windspeedmean,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
13.082,80.275,2020-01-01,26.1,33.6,23,24.3,90.4,59.512,100,20.83,14.8,7.4,67.2,1014.9,52,4.5,151.1,13.1,7
13.082,80.275,2020-01-02,27.2,37.8,24,24.6,86.5,2.232,100,4.17,14.8,5.7,83.9,1015.7,30.1,5.2,149.7,12.8,6
13.082,80.275,2020-01-03,27.8,38.7,25,24.6,83.8,0,0,0,18.4,6.4,116.2,1014.4,28.3,5.2,184.9,16.1,7
13.082,80.275,2020-01-04,27.9,36.6,25,24.7,83.7,0,0,0,14.8,8.2,134.5,1012.5,32.5,5,192.1,16.7,7
13.082,80.275,2020-01-05,28,35.9,26,24.3,80.6,0.3,100,12.5,14.8,9.8,120.1,1012.6,41.5,5.9,156.4,13.6,6
13.082,80.275,2020-01-06,26.9,35.5,24,23.7,83.2,17.505,100,12.5,22.3,10.9,65.3,1015,41,5.5,171.2,14.8,6
13.082,80.275,2020-01-07,27.5,34.2,25.6,23.3,78.5,0,0,0,24.1,13.6,76.8,1014.5,32.8,5.4,173.5,14.7,7
13.082,80.275,2020-01-08,26,31.4,23,21.3,76,0,0,0,18.4,8,69.7,1014.3,23.1,5.4,202.5,17.5,7
13.082,80.275,2020-01-09,25.4,32.1,21.6,20.2,74.4,0,0,0,14.8,6.6,80,1014,19.3,5.6,234.2,20.2,8
13.082,80.275,2020-01-10,25.7,31.4,21.2,19.3,69.9,0,0,0,22.3,10.3,63.9,1014.7,23.7,5.8,211.5,18.2,7
13.082,80.275,2020-01-11,25.5,31.7,21.4,20.1,73.5,0,0,0,22.3,9.6,53.3,1015.2,19,5.3,199,17.1,8
13.082,80.275,2020-01-12,25.7,33.3,22.8,21.9,80.7,0,0,0,27.7,13.2,51.4,1013.7,28.5,3.9,173.7,14.9,7
13.082,80.275,2020-01-13,25,31.4,21.7,20.4,76.6,0,0,0,24.3,10.1,60.7,1012.6,18.6,4.2,206.1,17.9,7
13.082,80.275,2020-01-14,24.3,29.9,19.5,18.3,71,0,0,0,20,9.2,51.2,1012.7,20.9,4.1,240.8,20.7,8
13.082,80.275,2020-01-15,25.3,31.4,20.8,18.7,68.4,0,0,0,18.4,7.9,56.4,1013.4,24.6,5.3,171.7,14.7,6
13.082,80.275,2020-01-16,25.8,32.4,22,19.7,70.4,0,0,0,18.4,7.9,59.5,1013.3,22.7,5.9,231.8,20,9
13.082,80.275,2020-01-17,26,33.3,21.9,22.1,79.8,0,0,0,22.3,12.3,58,1013.6,29.3,5.8,180.9,15.8,7
